BPR_TIME,LOG_TIME,WARP_TIME
0.18897294998168945,0.1293470859527588,0.1895465850830078
0.1799781322479248,0.12031960487365723,0.17752838134765625
0.17847299575805664,0.1198272705078125,0.19054770469665527
0.1805875301361084,0.1187906265258789,0.18246889114379883
0.17897701263427734,0.1178131103515625,0.17195940017700195
0.1785261631011963,0.11731147766113281,0.1634361743927002
0.17697501182556152,0.11881566047668457,0.16393566131591797
0.17696809768676758,0.11881566047668457,0.16343450546264648
0.17697405815124512,0.11931729316711426,0.16042804718017578
0.1764545440673828,0.11781191825866699,0.15892291069030762
0.1780080795288086,0.11681079864501953,0.15794897079467773
0.18000578880310059,0.11731195449829102,0.15791893005371094
0.1761784553527832,0.11831355094909668,0.15742015838623047
0.17650461196899414,0.11681032180786133,0.15494132041931152
0.1759934425354004,0.11731195449829102,0.15143132209777832
0.17504549026489258,0.11604142189025879,0.14989876747131348
0.17550420761108398,0.11680984497070312,0.14841532707214355
0.17596745491027832,0.11637663841247559,0.14739108085632324
0.17600774765014648,0.11580777168273926,0.145888090133667
0.17600369453430176,0.11531281471252441,0.14738941192626953
