WARP_TIME,warp_weight_TIME
0.19704961776733398,0.19301342964172363
0.1699521541595459,0.17245841026306152
0.17348933219909668,0.16142773628234863
0.16694283485412598,0.1629321575164795
0.1650087833404541,0.1712794303894043
0.16794514656066895,0.17049908638000488
0.16596364974975586,0.1679973602294922
0.1684732437133789,0.16748547554016113
0.17045331001281738,0.16796469688415527
0.17245817184448242,0.1674180030822754
0.1700141429901123,0.16894912719726562
0.1734919548034668,0.17095446586608887
0.1704559326171875,0.17597675323486328
0.1709277629852295,0.17245817184448242
0.17151522636413574,0.17352533340454102
0.17294549942016602,0.17603158950805664
0.17195749282836914,0.17195439338684082
0.17145228385925293,0.16993474960327148
0.17095303535461426,0.1709606647491455
0.17195725440979004,0.17245841026306152
