WARP_TIME,warp_weight_TIME
0.3990342617034912,0.40911364555358887
0.3564491271972656,0.36343955993652344
0.3499302864074707,0.3444674015045166
0.32837414741516113,0.3359181880950928
0.3228585720062256,0.3178415298461914
0.31383562088012695,0.30829381942749023
0.3023033142089844,0.3018035888671875
0.2927517890930176,0.30179786682128906
0.2842564582824707,0.28275322914123535
0.28423142433166504,0.2767367362976074
0.27272796630859375,0.27172303199768066
0.2702465057373047,0.271221399307251
0.2662382125854492,0.26868581771850586
0.2551541328430176,0.255678653717041
0.2546851634979248,0.25019121170043945
0.25066542625427246,0.257688045501709
0.24164247512817383,0.25264573097229004
0.23813366889953613,0.2376270294189453
0.2366323471069336,0.24262022972106934
0.22710251808166504,0.24718189239501953
0.22670269012451172,0.24066472053527832
0.22259855270385742,0.22356939315795898
0.21509838104248047,0.21908330917358398
0.21356940269470215,0.21410226821899414
0.21106195449829102,0.21103525161743164
0.20705080032348633,0.2165536880493164
0.20103168487548828,0.20451712608337402
0.20003128051757812,0.2055206298828125
0.19699811935424805,0.20603203773498535
0.19301223754882812,0.20162391662597656
0.18950438499450684,0.19749999046325684
0.19100713729858398,0.19153809547424316
0.18348932266235352,0.18997621536254883
0.1907978057861328,0.1945359706878662
0.18047451972961426,0.19904375076293945
0.17897462844848633,0.1884779930114746
0.17446255683898926,0.17744684219360352
0.17396235466003418,0.17898082733154297
0.17098021507263184,0.1814870834350586
0.17095208168029785,0.17243313789367676
