WARP_TIME,warp_kos_TIME
0.7830543518066406,0.7801120281219482
0.6903345584869385,0.6823396682739258
0.653209924697876,0.6562714576721191
0.6291742324829102,0.6357300281524658
0.6096198558807373,0.6106600761413574
0.5895678997039795,0.5925755500793457
0.5660054683685303,0.5690147876739502
0.5494866371154785,0.5620269775390625
0.5344207286834717,0.5399351119995117
0.5143682956695557,0.5294311046600342
0.49782252311706543,0.5118701457977295
0.4808051586151123,0.49666738510131836
0.47275567054748535,0.47829723358154297
0.4537062644958496,0.4617431163787842
0.44167470932006836,0.4501984119415283
0.43465662002563477,0.4341568946838379
0.4201469421386719,0.426633358001709
0.40610504150390625,0.412095308303833
0.395552396774292,0.40056490898132324
0.3815131187438965,0.3920421600341797
0.3760073184967041,0.3805117607116699
0.3674485683441162,0.36548447608947754
0.354506254196167,0.3600151538848877
0.3639397621154785,0.350907564163208
0.3534383773803711,0.34190797805786133
0.35804057121276855,0.33791184425354004
0.325364351272583,0.3218557834625244
0.31684184074401855,0.31133294105529785
0.3223600387573242,0.3023035526275635
0.31130218505859375,0.295790433883667
0.2892947196960449,0.2837553024291992
0.28322672843933105,0.2762773036956787
0.2772655487060547,0.26824235916137695
0.2707173824310303,0.26072216033935547
0.26773619651794434,0.24963831901550293
0.2566821575164795,0.24314570426940918
0.2461555004119873,0.23916220664978027
0.23565316200256348,0.2326200008392334
0.23008227348327637,0.22760581970214844
0.22910070419311523,0.2215890884399414
0.22056007385253906,0.21557307243347168
0.2250993251800537,0.21005845069885254
0.21055912971496582,0.20053386688232422
0.21308374404907227,0.19953107833862305
0.19852733612060547,0.19652915000915527
0.2115614414215088,0.19251203536987305
0.19000768661499023,0.18546462059020996
0.18346238136291504,0.18599462509155273
0.18298625946044922,0.18260860443115234
0.17847418785095215,0.17546701431274414
0.18351364135742188,0.17797303199768066
0.17597079277038574,0.17195630073547363
0.176469087600708,0.16744542121887207
0.18451642990112305,0.1669445037841797
0.17596912384033203,0.1624293327331543
0.16945290565490723,0.15889334678649902
0.1699521541595459,0.15841960906982422
0.16092681884765625,0.15942072868347168
0.15641570091247559,0.1564178466796875
0.17202162742614746,0.15441203117370605
0.15943408012390137,0.1524059772491455
0.15090656280517578,0.15044665336608887
0.1494004726409912,0.14889144897460938
0.1533815860748291,0.152418851852417
0.14540958404541016,0.15190410614013672
0.14840316772460938,0.14689278602600098
0.1454029083251953,0.14385247230529785
0.13734173774719238,0.1418771743774414
0.14737939834594727,0.1418769359588623
0.13636255264282227,0.1368696689605713
