LOG_TIME,WARP_TIME
0.5850808620452881,0.7896277904510498
0.48786282539367676,0.7189099788665771
0.4897775650024414,0.6603419780731201
0.49030399322509766,0.6372489929199219
0.4928100109100342,0.6087784767150879
0.4893012046813965,0.6136152744293213
0.4903299808502197,0.5927579402923584
0.4877965450286865,0.5680370330810547
0.5053911209106445,0.5356001853942871
0.4934101104736328,0.5184226036071777
0.48893165588378906,0.5169260501861572
0.4943428039550781,0.4922969341278076
0.49234938621520996,0.48893070220947266
0.4928104877471924,0.4609212875366211
0.48946046829223633,0.452286958694458
0.487835168838501,0.4482252597808838
0.4918391704559326,0.4256579875946045
0.4848151206970215,0.41356897354125977
0.48843932151794434,0.4016234874725342
0.5038394927978516,0.390277624130249
